title,company,location,description,created,category,clean_description
VDI Engineer,ASML,"Veldhoven, Noord-Brabant","Introduction to the job The role will be situated in the Agile Release Train below: Digital Workplace (DW) Digital Workplace provides workplace services for ASML staff world-wide as well as to 3rd party Suppliers. This includes laptops, special purpose devices, mobile device management, worldwide virtual desktops and Collaboration & Productivity services such as Office 365, Webcast, Intranet & Search and various other collaboration tools As VDI Engineer you're co-responsible for the operational…",2025-07-31T09:10:59Z,DevOps,introduction job role situated agile release train digital workplace dw digital workplace provides workplace services asml staff worldwide well party suppliers includes laptops special purpose devices mobile device management worldwide virtual desktops collaboration productivity services office webcast intranet search various collaboration tools vdi engineer youre coresponsible
Senior Java Developer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a Senior Java Developer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for an international innovation leader in the semiconductor industry, they are looking for a Java Developer. You’l…",2023-05-02T16:48:45Z,DevOps,currently cross border talents search senior java developer one clients netherlands company question renowned dutch agency specialized recruitment relocation technical specialists netherlands names work include clients like asml vdl daf trucks siemens many one projects international innovation leader semiconductor industry looking java developer
Security Engineer Firewall,Simac,"Veldhoven, Noord-Brabant","Wat jij gaat doen Neem jij jouw diploma binnenkort in handen of heb je nu net een tussenjaar gehad? Dan hebben we een leuke plek voor jou bij onze security afdeling! Als kloppend hart van een organisatie is de beveiliging middels firewalling een key positie! Grote namen zoals Jumbo, Primera, PSV, een tal van zorgklanten en nog veel meer vallen onder jouw hoede, samen met je collega’s. Als Security Engineer bij Simac zorg jij voor de veiligheid van onze IT-dienstverlening. Je werkt nauw samen me…",2025-04-06T05:51:58Z,DevOps,wat jij gaat doen neem jij jouw diploma binnenkort handen heb je nu net een tussenjaar gehad dan hebben een leuke plek voor jou bij onze security afdeling als kloppend hart van een organisatie de beveiliging middels firewalling een key positie grote namen zoals jumbo primera psv een tal van zorgklanten en nog veel meer vallen onder jouw hoede samen met je als security engineer bij simac zorg jij voor de veiligheid van onze itdienstverlening je werkt nauw samen
Software Engineer (Remote) - Java/Angular,Doghouse Recruitment,"Veldhoven, Noord-Brabant","Full-Stack Engineer · Java/Spring Boot & Angular · Remote Europe · Up To €65K  Benefits Are you a hands-on engineer who enjoys building useful products and solving real problems for modern, distributed teams? Want to work in a fast-moving SaaS environment that values flexibility, ownership, and async communication? Join a fully remote company that’s redefining how global teams handle business travel and employee mobility. With products already live in Vacations, Business Travel, and Visas, they…",2025-08-01T02:59:35Z,DevOps,fullstack engineer javaspring boot angular remote europe benefits handson engineer enjoys building useful products solving real problems modern distributed teams want work fastmoving saas environment values flexibility ownership async communication join fully remote company redefining global teams handle business travel employee mobility products already live vacations business travel visas
IGA Developer,Axiom Software Solutions Limited,"Veldhoven, Noord-Brabant",Job Mission As IGA Developer with strong consultancy skills and competences you are part of an Agile team responsible for the development and configuration of our IAM IGA tools. You are owning the technical design of IGA in the IAM landscape and as such you are taking the technical lead in the development of IGA in ASML while supporting the onboarding of applications and other changes and automation based on standardization. All of this includes guidance to an offshore team. The IGA Developer w…,2025-04-07T19:52:35Z,DevOps,job mission iga developer strong consultancy skills competences part agile team responsible development configuration iam iga tools owning technical design iga iam landscape taking technical lead development iga asml supporting onboarding applications changes automation based standardization includes guidance offshore team iga developer
Cryptography Developer,Axiom Software Solutions Limited,"Veldhoven, Noord-Brabant","As a Crypto Engineer with strong consultancy skills and competences, you are part of a Scrum Team (SAFe) managing and operating our IAM Crypto landscape. The Crypto environment is newly setup within the IAM. Originally it was “only“ PKI, Key-Management is now added and we are working on implementing a new CLM. The team is owning the technical design, development and operation of cryptography and everything related to certificates. Automation is a key strategy of ASML IT, enhanced by self-servic…",2025-04-08T10:50:09Z,DevOps,crypto engineer strong consultancy skills competences part scrum team safe managing operating iam crypto landscape crypto environment newly setup within iam originally pki keymanagement added working implementing new clm team owning technical design development operation cryptography everything related certificates automation key strategy asml enhanced
Product Manager,GS1,"Veldhoven, Noord-Brabant","GS1 offers a portfolio of services and tools to make the adoption of our standards for industry easier and more impactful. The Product Manager GS1 Data Services will be responsible for delivering GS1 Data Services towards the product vision of the GS1 Federation. The position will have a global responsibility for all product-related aspects. As the Product Manager, you combine strategic thinking with a strong focus on execution for delivering outstanding product experiences that achieve organis…",2025-08-01T03:01:49Z,DevOps,offers portfolio services tools make adoption standards industry easier impactful product manager data services responsible delivering data services towards product vision federation position global responsibility productrelated aspects product manager combine strategic thinking strong focus execution delivering outstanding product experiences achieve
Teamcenter Security Architect/Technical Lead,ASML,"Veldhoven, Noord-Brabant","Introduction to the job Our PLM and Configuration Management department is responsible for delivering solutions that push the limits of technology to unlock the business value of digital design and Product Lifecycle Management (PLM). We deliver cutting-edge PLM solutions to solve some of ASML’s toughest challenges. Together with our partners, and based on global best practices, we deliver the digital foundation of product innovation. In this role you'll be the bridge between the PLM functional …",2025-07-01T13:09:20Z,DevOps,introduction job plm configuration management department responsible delivering solutions push limits technology unlock business value digital design product lifecycle management plm deliver cuttingedge plm solutions solve toughest challenges together partners based global best practices deliver digital foundation product innovation role youll bridge plm functional
Solution Architect - Microsoft D365 F&O (Remote),HEF associates,"Veldhoven, Noord-Brabant","For a trusted client, we are looking for a Solution Architect to join a young growing scaleup who is active in a niche market for which they developed a market specific solution. The solution is the best solution available within this specific market and because they are getting more traction, they are needing to grow the team. Our client is growing throughout the whole of Europe, and has a remote team working from a variety of countries which means this job is remote with travel to clients thr…",2025-07-17T08:08:28Z,DevOps,trusted client looking solution architect join young growing scaleup active niche market developed market specific solution solution best solution available within specific market getting traction needing grow team client growing throughout whole europe remote team working variety countries means job remote travel clients
Cloud Infrastructure Engineer,BDO,"Veldhoven, Noord-Brabant","About BDO BDO is the leading mid-tier professional services provider globally. In 2024, our core service lines (Audit & Assurance, Tax, Advisory, and Business Services & Outsourcing) generated annual revenues of over US$15 billion. With a worldwide community of over 119k professionals operating in 166 countries and territories, we’re dedicated to helping our clients navigate complex financial and strategic challenges, aligned to our core purpose ‘ People helping people. ’ Why join us? A great p…",2025-06-12T22:07:03Z,DevOps,bdo bdo leading midtier professional services provider globally core service lines audit assurance tax advisory business services outsourcing generated annual revenues billion worldwide community professionals operating countries territories dedicated helping clients navigate complex financial strategic challenges aligned core purpose people helping people join us great
