title,company,location,description,created,category,clean_description
Scrum Master - Embedded Software Design Engineering,ASML,"Veldhoven, Noord-Brabant",Would you like to be the leader of a team of 10 to 12 people whose mission is to develop software for one of our products in an AGILE/SAFe environment? Are you the self-starter who Introduction Would you like to be the leader of a team of 10 to 12 people whose mission is to develop software for one of our products in an AGILE/SAFe environment? Are you the self-starter who can deliver successfully although you do not have all the requirements at the start? Do you like to cooperate with physicist…,2024-02-13T13:02:07Z,Software Engineer,would you like to be the leader of a team of to people whose mission is to develop software for one of our products in an agilesafe environment are you the selfstarter who introduction would you like to be the leader of a team of to people whose mission is to develop software for one of our products in an agilesafe environment are you the selfstarter who can deliver successfully although you do not have all the requirements at the start do you like to cooperate with
Javascript Developer,La Fosse,"Veldhoven, Noord-Brabant","Senior JavaScript / Node.js Engineer Location: Hybrid/Remote options (Netherlands) Salary: €5,800 – €7,200 per month (based on 40h/week) A fast-moving product company based in the Netherlands is looking for a Senior JavaScript / Node.js Engineer to join their growing tech team. You’ll work on high-impact digital platforms used across Europe, with a strong focus on performance, scalability, and clean architecture. You’ll play a key role in building back-end services using Node.js and TypeScript,…",2025-07-09T07:11:50Z,Software Engineer,senior javascript nodejs engineer location hybridremote options netherlands salary per month based on a fastmoving product company based in the netherlands is looking for a senior javascript nodejs engineer to join their growing tech team work on highimpact digital platforms used across europe with a strong focus on performance scalability and clean architecture play a key role in building backend services using nodejs and
.NET Fullstack Developer,OBSS,"Veldhoven, Noord-Brabant","We are looking for a skilled .NET Fullstack Developer with a strong background in projects to contribute to the design, development, and maintenance of our payment service software applications. You will work closely with cross-functional teams to deliver high-quality solutions that meet the unique needs of our payment systems client. QUALIFICATIONS Bachelor's degree in Computer Science, Software Engineering, or a related field, Senior Full Stack: NET core 3.1 or .NET 6 (8yrs exp), React( 6yrs …",2025-07-31T22:44:51Z,Software Engineer,we are looking for a skilled net fullstack developer with a strong background in projects to contribute to the design development and maintenance of our payment service software applications you will work closely with crossfunctional teams to deliver highquality solutions that meet the unique needs of our payment systems client qualifications bachelors degree in computer science software engineering or a related field senior full stack net core or net exp react
Yieldstar Product Architect,ASML,"Veldhoven, Noord-Brabant",Do you like working on cutting edge metrology systems? Working on the forefront on what is possible and realizing Moore's law? Then check this out Job Mission Translate the product requirements for the YieldStar system and its applications into software specific requirements and update the software architecture. Job Description You will build a thorough knowledge of the YieldStar products developed in the Applications Business Line; and participate in the definition of these products. You will …,2024-02-13T13:02:07Z,Software Engineer,do you like working on cutting edge metrology systems working on the forefront on what is possible and realizing moores law then check this out job mission translate the product requirements for the yieldstar system and its applications into software specific requirements and update the software architecture job description you will build a thorough knowledge of the yieldstar products developed in the applications business line and participate in the definition of these products you will
Graduation assignment: Data mining to pro-actively detect issues,ASML,"Veldhoven, Noord-Brabant",This is a graduation assignment for a master's student in Software Engineering or a related field. Introduction This is a graduation assignment for a master's student in Software Engineering or a related field. Job Mission Reliability of software is very important for our customers. However we don’t know all issues which occur at customer locations and we only react to issues which are being escalated (re-actively). Job Description Our installed base is very large and contains a lot of informat…,2024-02-13T13:02:08Z,Software Engineer,this is a graduation assignment for a masters student in software engineering or a related field introduction this is a graduation assignment for a masters student in software engineering or a related field job mission reliability of software is very important for our customers however we know all issues which occur at customer locations and we only react to issues which are being escalated reactively job description our installed base is very large and contains a lot of
Graduation assignment: Identify requirements and the optimal solution for simulation batching,ASML,"Veldhoven, Noord-Brabant","Are you a Bachelor student in Computer Science, Software Engineering or Physics and looking for a graduation assignment? Then this internship might be interesting for you. Introduction Are you a Bachelor student in Computer Science, Software Engineering or Physics and looking for a graduation assignment? Then this internship might be interesting for you. Job Mission The Imaging groups in ASML use simulation tools to predict the imaging performance of the ASML products. Due to an increasing numb…",2023-12-18T12:35:46Z,Software Engineer,are you a bachelor student in computer science software engineering or physics and looking for a graduation assignment then this internship might be interesting for you introduction are you a bachelor student in computer science software engineering or physics and looking for a graduation assignment then this internship might be interesting for you job mission the imaging groups in asml use simulation tools to predict the imaging performance of the asml products due to an increasing
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Software Engineer,role data scientists salary per annum holidays contract position duration remote in the netherlands with a valid work visa description you will work in data analytics together with other data scientists data engineers data analysts machine learning engineers data stewards and data architects together you will be joining crossfunctional teams consisting of colleagues from technology product and design from the business domain of business support
Front end Developer,CIMSOLUTIONS,"Veldhoven, Noord-Brabant","Als Front-end Developer ben je verantwoordelijk voor het ontwikkelen en onderhouden van gebruiksvriendelijke en visueel aantrekkelijke interfaces voor webapplicaties. Je werkt nauw samen met UX/UI-designers en back-end developers om designs te vertalen naar functionele en responsieve interfaces. Daarnaast draag je bij aan het verbeteren van de gebruikerservaring en performance van de applicaties. Dit doe je bij of voor onze gerenommeerde klanten waaronder Belastingdienst, Gemeente Den Haag, Cen…",2025-07-09T07:11:39Z,Software Engineer,als frontend developer ben je verantwoordelijk voor het ontwikkelen en onderhouden van gebruiksvriendelijke en visueel aantrekkelijke interfaces voor webapplicaties je werkt nauw samen met uxuidesigners en backend developers om designs te vertalen naar functionele en responsieve interfaces daarnaast draag je bij aan het verbeteren van de gebruikerservaring en performance van de applicaties dit doe je bij of voor onze gerenommeerde klanten waaronder belastingdienst gemeente den haag
Graduation assignment: Boost Usability of myChange Software as UX / UI Designer,ASML,"Veldhoven, Noord-Brabant","Youare a Master or a Bachelor student in a University of Applied Sciences orUniversity in Software Engineering/Computer Science who is looking for a graduation assignment? Introduction You are a Master or a Bachelor student in a University of Applied Sciences or University in Software Engineering/Computer Science who is looking for a graduation assignment. Job Mission ASML’s machineschange 60% for each new version. For all changes costs, benefit, timing, anddependencies are taken into account. …",2023-10-20T13:24:53Z,Software Engineer,youare a master or a bachelor student in a university of applied sciences oruniversity in software engineeringcomputer science who is looking for a graduation assignment introduction you are a master or a bachelor student in a university of applied sciences or university in software engineeringcomputer science who is looking for a graduation assignment job mission machineschange for each new version for all changes costs benefit timing anddependencies are taken into account
IT Software Configuration Management Architect,ASML,"Veldhoven, Noord-Brabant","Founded in 1984, ASML is the world's leading provider of lithography systems for the semiconductor industry, manufacturing complex machines that are critical to the production of i Introduction Founded in 1984, ASML is the world's leading provider of lithography systems for the semiconductor industry, manufacturing complex machines that are critical to the production of integrated circuits or chips. ASML has its R&D and manufacturing operations in Wilton, Connecticut and in Veldhoven, the Nethe…",2023-12-18T12:35:47Z,Software Engineer,founded in asml is the worlds leading provider of lithography systems for the semiconductor industry manufacturing complex machines that are critical to the production of i introduction founded in asml is the worlds leading provider of lithography systems for the semiconductor industry manufacturing complex machines that are critical to the production of integrated circuits or chips asml has its rd and manufacturing operations in wilton connecticut and in veldhoven the
Senior System Industrialization Engineer,Synsel Techniek,"Veldhoven, Noord-Brabant","Hier ga je werken Locatie: Veldhoven. Dit bedrijf is een voorloper in de high-tech machinebouw en richt zich op de ontwikkeling van geavanceerde technologieën voor de halfgeleiderindustrie. Gevestigd in Veldhoven, speelt deze organisatie een cruciale rol in het leveren van hardware, software en diensten aan chipfabrikanten over de hele wereld. Het bedrijf biedt een dynamische en innovatieve werkomgeving waar samenwerking en creativiteit centraal staan. Werknemers krijgen de kans om te werken aa…",2025-07-25T13:12:46Z,Software Engineer,hier ga je werken locatie veldhoven dit bedrijf is een voorloper in de hightech machinebouw en richt zich op de ontwikkeling van geavanceerde technologieën voor de halfgeleiderindustrie gevestigd in veldhoven speelt deze organisatie een cruciale rol in het leveren van hardware software en diensten aan chipfabrikanten over de hele wereld het bedrijf biedt een dynamische en innovatieve werkomgeving waar samenwerking en creativiteit centraal staan werknemers krijgen de kans om te werken
Internship: Optimization of the sequence generation and merging capability of service actions,ASML,"Veldhoven, Noord-Brabant",Are you a Bachelor or Master student in IT / Software Engineering with a strong affinity with technology? Then this internship could be interesting for you. Introduction Are you a Bachelor or Master student in IT / Software Engineering with a strong affinity with technology? Then this internship could be interesting for you. Job Mission As the Service Design & Engineering department of ASML we deliver structural embedded solutions to the field engineers and our customers. You can be a part off …,2023-12-18T12:35:49Z,Software Engineer,are you a bachelor or master student in it software engineering with a strong affinity with technology then this internship could be interesting for you introduction are you a bachelor or master student in it software engineering with a strong affinity with technology then this internship could be interesting for you job mission as the service design engineering department of asml we deliver structural embedded solutions to the field engineers and our customers you can be a part off
